protein_id,fc_1_v_3
Clo1313_0001,-0.255257187500003
Clo1313_0002,-1.043984375
Clo1313_0005,7.5947975
Clo1313_0006,-0.783816250000001
Clo1313_0007,-0.005691250000002
Clo1313_0008,-0.207569999999997
Clo1313_0009,-4.10229
Clo1313_0010,2.3141825
Clo1313_0011,0.357887500000004
Clo1313_0013,-2.7755475
Clo1313_0016,-5.52485125
Clo1313_0018,1.016515
Clo1313_0020,0.145135312500003
Clo1313_0021,0.41257270833335
Clo1313_0022,0.62644375
Clo1313_0023,0.403112500000002
Clo1313_0030,-0.371806249999999
Clo1313_0032,7.85016625
Clo1313_0035,-1.0289575
Clo1313_0038,0.025098749999998
Clo1313_0039,-1.0198201388889
Clo1313_0047,0.336964999999999
Clo1313_0050,0
Clo1313_0053,-1.011625
Clo1313_0054,-2.44484625
Clo1313_0055,-7.42707
Clo1313_0058,5.2019075
Clo1313_0061,-1.2352075
Clo1313_0063,-1.9581525
Clo1313_0064,-1.87225125
Clo1313_0066,-1.51935125
Clo1313_0068,-1.5671175
Clo1313_0073,0
Clo1313_0074,1.2585225
Clo1313_0075,1.39571625
Clo1313_0076,-0.523042499999999
Clo1313_0077,0.067168750000001
Clo1313_0078,-0.224444999999999
Clo1313_0082,2.658025
Clo1313_0094,-4.9978475
Clo1313_0099,-0.329880000000003
Clo1313_0100,-0.62181125
Clo1313_0101,-0.780210000000004
Clo1313_0102,-0.716820195312501
Clo1313_0103,3.138755
Clo1313_0105,0
Clo1313_0126,0
Clo1313_0133,-2.0465045
Clo1313_0152,0
Clo1313_0164,-1.47276
Clo1313_0166,1.020325
Clo1313_0168,-0.307803749999998
Clo1313_0175,-0.600448750000002
Clo1313_0180,-0.152192500000002
Clo1313_0182,0.917584999999999
Clo1313_0184,3.217965
Clo1313_0185,0.139386250000001
Clo1313_0186,1.4467125
Clo1313_0188,0.48251125
Clo1313_0193,-0.739849500000002
Clo1313_0195,-0.410334999999996
Clo1313_0202,-0.330729999999999
Clo1313_0206,-0.814844999999998
Clo1313_0213,9.11241125
Clo1313_0215,0.209160000000001
Clo1313_0216,0.980750703125
Clo1313_0217,0.551232500000001
Clo1313_0218,-0.00024625
Clo1313_0220,0.14771
Clo1313_0221,1.1064025
Clo1313_0245,0.627597499999999
Clo1313_0246,0.409154999999998
Clo1313_0255,-1.3100225
Clo1313_0266,-0.026167500000003
Clo1313_0276,-1.338705
Clo1313_0282,0
Clo1313_0283,-0.117429999999999
Clo1313_0284,-1.04001375
Clo1313_0287,-0.242222499999997
Clo1313_0291,0
Clo1313_0292,-3.32481
Clo1313_0293,0.6215525
Clo1313_0295,0.595358749999999
Clo1313_0296,-0.286048750000003
Clo1313_0297,0.189701250000002
Clo1313_0299,0.208378749999998
Clo1313_0300,-0.987953750000003
Clo1313_0304,-0.23048578125
Clo1313_0305,-0.172252109375002
Clo1313_0306,3.401085
Clo1313_0308,-0.440362499999999
Clo1313_0309,-0.008935000000001
Clo1313_0310,-0.642877499999997
Clo1313_0311,-0.307736250000001
Clo1313_0312,-0.357991250000001
Clo1313_0313,-0.580837734374999
Clo1313_0314,-1.0276476464844
Clo1313_0315,1.1804525
Clo1313_0316,-0.146397499999999
Clo1313_0317,-0.014495624999999
Clo1313_0318,-0.250853710937498
Clo1313_0319,-0.186579999999999
Clo1313_0326,-4.923725
Clo1313_0328,-0.149155
Clo1313_0329,-0.3964675
Clo1313_0330,-0.429759999999998
Clo1313_0332,-0.414407499999999
Clo1313_0349,-2.8938425
Clo1313_0387,-2.25801625
Clo1313_0388,-0.001323750000001
Clo1313_0389,-0.266482499999999
Clo1313_0395,5.4264775
Clo1313_0397,-1.11066125
Clo1313_0400,-0.252546250000002
Clo1313_0403,0.228775000000002
Clo1313_0405,-0.143755000000001
Clo1313_0407,-5.25104
Clo1313_0410,-0.56692125
Clo1313_0413,-0.874218750000004
Clo1313_0415,0.902807500000002
Clo1313_0416,0.585251249999999
Clo1313_0417,3.07662375
Clo1313_0421,0.199767
Clo1313_0422,0.9406075
Clo1313_0423,1.2964
Clo1313_0424,-0.571765000000001
Clo1313_0425,-1.21401
Clo1313_0426,0.519491250000002
Clo1313_0428,-0.148014999999997
Clo1313_0429,0.782305624999999
Clo1313_0430,0.220739999999999
Clo1313_0432,0.467996249999999
Clo1313_0433,0.112354531249999
Clo1313_0436,-0.8435275
Clo1313_0438,-0.6351525
Clo1313_0439,0.476430000000001
Clo1313_0440,0.131341250000002
Clo1313_0442,-6.9767675
Clo1313_0444,0.556061249999999
Clo1313_0445,-0.562366249999997
Clo1313_0446,-0.552153749999999
Clo1313_0447,0.443166875000003
Clo1313_0448,-0.454278867187501
Clo1313_0449,6.196995
Clo1313_0450,0.322987812499996
Clo1313_0451,0.380466874999996
Clo1313_0452,0.027570624999999
Clo1313_0453,0.940064000000003
Clo1313_0454,-0.676666249999997
Clo1313_0455,-0.277425000000001
Clo1313_0456,-0.347382499999998
Clo1313_0457,-0.110948437499999
Clo1313_0459,-0.252955624999998
Clo1313_0460,-0.0707375
Clo1313_0461,0.092735000000001
Clo1313_0462,0.37740625
Clo1313_0463,2.707239
Clo1313_0464,0.058767499999998
Clo1313_0465,-0.944242500000001
Clo1313_0466,-0.0464375
Clo1313_0467,3.02391625
Clo1313_0469,0.3291225
Clo1313_0471,-0.175069375
Clo1313_0472,-0.501731249999999
Clo1313_0473,-0.015934999999999
Clo1313_0474,-0.659864375000002
Clo1313_0475,0.295355000000001
Clo1313_0479,-2.29868
Clo1313_0482,-1.05238
Clo1313_0489,0.026386875
Clo1313_0498,0.757056250000002
Clo1313_0500,0
Clo1313_0510,-1.9850475
Clo1313_0511,-0.10813375
Clo1313_0512,-0.353859999999997
Clo1313_0514,2.49089
Clo1313_0519,-0.285215000000001
Clo1313_0539,-0.523389999999999
Clo1313_0549,-0.734741562499998
Clo1313_0552,-0.080235000000002
Clo1313_0554,-0.917800624999998
Clo1313_0571,0
Clo1313_0578,0.388638437500003
Clo1313_0581,-1.200425
Clo1313_0586,0.134936249999996
Clo1313_0587,-3.8906775
Clo1313_0588,-1.99787
Clo1313_0600,-3.49852
Clo1313_0613,2.27525
Clo1313_0615,-0.879829999999998
Clo1313_0616,-0.383381249999999
Clo1313_0627,-0.344208124999998
Clo1313_0628,-0.197891250000001
Clo1313_0629,-0.890170750000001
Clo1313_0630,-0.784369999999999
Clo1313_0636,0.559328750000002
Clo1313_0637,2.4802575
Clo1313_0638,-0.159788749999997
Clo1313_0640,0.538456249999999
Clo1313_0641,0.015583749999998
Clo1313_0642,5.2903775
Clo1313_0643,0.14264
Clo1313_0645,-0.153478749999998
Clo1313_0646,-0.283664999999999
Clo1313_0647,-0.47145875
Clo1313_0648,-1.2211675
Clo1313_0652,0.148077500000001
Clo1313_0656,0.168320000000001
Clo1313_0657,0.8365975
Clo1313_0667,-0.15764875
Clo1313_0671,-4.61283
Clo1313_0672,-0.473187500000002
Clo1313_0673,-0.756863554687502
Clo1313_0675,-2.6764375
Clo1313_0677,0.501525000000001
Clo1313_0684,-1.00312297851565
Clo1313_0689,-0.05006375
Clo1313_0694,1.00633625
Clo1313_0698,-0.914631249999999
Clo1313_0699,-0.7758
Clo1313_0700,-0.826222749999999
Clo1313_0701,-0.942895
Clo1313_0706,1.875382625
Clo1313_0707,-1.02341375
Clo1313_0708,1.05937375
Clo1313_0709,0.931987187499999
Clo1313_0713,2.9809
Clo1313_0715,-0.56512
Clo1313_0716,-6.3316975
Clo1313_0717,-0.504185000000003
Clo1313_0718,-2.5849775
Clo1313_0720,0.003448437500001
Clo1313_0729,-7.03826
Clo1313_0732,-6.538835
Clo1313_0737,0
Clo1313_0740,0.400337499999999
Clo1313_0745,0.002751249999999
Clo1313_0749,-0.568129374999998
Clo1313_0753,-0.089589999999999
Clo1313_0755,-1.480705
Clo1313_0779,-1.91878
Clo1313_0780,-0.260402499999998
