icbi_id,icbi_rxn,isg_rxn,isg_id,icbi_mb,curated_rxn,curation_notes
3HAD100,3hdecACP_c <=> h2o_c + tdec2eACP_c,3hdecACP_c <=> h2o_c + tdec2eACP_c,3HAD100,{'H': -1.0},3hdecACP_c <=> h2o_c + tdec2eACP_c,
3HAD140,3hmrsACP_c <=> h2o_c + h_c + tmrs2eACP_c,3hmrsACP_c <=> h2o_c + tmrs2eACP_c,3HAD140,{'H': 1.0},3hmrsACP_c <=> h2o_c + tmrs2eACP_c,
3HAD160,3hpalmACP_c <=> h2o_c + h_c + tpalm2eACP_c,3hpalmACP_c <=> h2o_c + tpalm2eACP_c,3HAD160,{'H': 1.0},3hpalmACP_c <=> h2o_c + tpalm2eACP_c,
3HAD60,3hhexACP_c + h_c <=> h2o_c + thex2eACP_c,3hhexACP_c <=> h2o_c + thex2eACP_c,3HAD60,{'H': -1.0},3hhexACP_c <=> h2o_c + thex2eACP_c,
3OAR120,3hddecACP_c + nadp_c <=> 3oddecACP_c + h_c + nadph_c,3oddecACP_c + h_c + nadph_c <=> 3hddecACP_c + nadp_c,3OAR120,{'H': 1.0},3oddecACP_c + h_c + nadph_c <=> 3hddecACP_c + nadp_c,
3OAR140,3hmrsACP_c + nadp_c <=> 3omrsACP_c + 2.0 h_c + nadph_c,3omrsACP_c + h_c + nadph_c <=> 3hmrsACP_c + nadp_c,3OAR140,{'H': 2.0},3omrsACP_c + h_c + nadph_c <=> 3hmrsACP_c + nadp_c,
3OAR160,3hpalmACP_c + nadp_c <=> 3opalmACP_c + 2.0 h_c + nadph_c,3opalmACP_c + h_c + nadph_c <=> 3hpalmACP_c + nadp_c,3OAR160,{'H': 2.0},3opalmACP_c + h_c + nadph_c <=> 3hpalmACP_c + nadp_c,
3OAR18B,3osteACP_c + 2.0 h_c + nadph_c <=> 3hoctaACP_c + nadp_c,3osteACP_c + h_c + nadph_c <=> 3hoctaACP_c + nadp_c,3OAR18B,{'H': -2.0},3osteACP_c + h_c + nadph_c <=> 3hoctaACP_c + nadp_c,
3OAR40,3hbutACP_c + nadp_c <=> actACP_c + 2.0 h_c + nadph_c,actACP_c + h_c + nadph_c <=> 3hbutACP_c + nadp_c,3OAR40,{'H': 2.0},actACP_c + h_c + nadph_c <=> 3hbutACP_c + nadp_c,
3OAR60,3hhexACP_c + nadp_c <=> 3ohexACP_c + h_c + nadph_c,3hhexACP_c + nadp_c <=> 3ohexACP_c + h_c + nadph_c,3OAR60,{'H': 1.0},3hhexACP_c + nadp_c <=> 3ohexACP_c + h_c + nadph_c,
3OAS80,hexACP_c + malACP_c --> 3ooctACP_c + ACP_c + co2_c,h_c + hexACP_c + malACP_c --> 3ooctACP_c + ACP_c + co2_c,3OAS80,{'H': 1.0},h_c + hexACP_c + malACP_c --> 3ooctACP_c + ACP_c + co2_c,
AACPS3MBUT,ACP_c + ivcoa_c <=> 3mbACP_c + coa_c,ACP_c + ivcoa_c <=> 3mbACP_c + coa_c,AACPS3MBUT,{'H': -1.0},ACP_c + ivcoa_c <=> 3mbACP_c + coa_c,
AACPS3MCR,3mb2coa_c + ACP_c + h_c <=> 3mb2cACP_c + coa_c,3mb2coa_c + ACP_c <=> 3mb2cACP_c + coa_c,AACPS3MCR,"{'charge': 1.0, 'C': 8.0, 'H': 13.0, 'O': 13.0, 'N': -2.0, 'P': -1.0, 'S': -1.0, 'R': -1.0}",3mb2coa_c + ACP_c <=> 3mb2cACP_c + coa_c,
ACPS1,apoACP_c + coa_c --> ACP_c + 2.0 h_c + pap_c,apoACP_c + coa_c --> ACP_c + h_c + pap_c,ACPS1,{'H': 2.0},apoACP_c + coa_c --> ACP_c + h_c + pap_c,
ALLAS,24.0 ala__D_c + 24.0 atp_c + 24.0 cdpglyc_c + dg12dg_c + 24.0 h2o_c --> ala_lta_c + 24.0 amp_c + 24.0 cmp_c + 2448.0 h_c + 24.0 ppi_c,24.0 ala__D_c + 24.0 atp_c + 24.0 cdpglyc_c + dg12dg_c + 24.0 h2o_c --> ala_lta_c + 24.0 amp_c + 24.0 cmp_c + 48.0 h_c + 24.0 ppi_c,ALLAS,"{'C': 14256.0, 'H': 33264.0, 'N': 2376.0, 'O': 16632.0, 'P': 2376.0}",24.0 ala__D_c + 24.0 atp_c + 24.0 cdpglyc_c + dg12dg_c + 24.0 h2o_c --> ala_lta_c + 24.0 amp_c + 24.0 cmp_c + 48.0 h_c + 24.0 ppi_c,
APCS,15dap_c + ametam_c --> 5mta_c + h_c + na15dap_c,15dap_c + ametam_c --> 5mta_c + h_c + na15dap_c,APCS,"{'charge': -3.0, 'C': -3.0, 'H': -14.0, 'N': -3.0, 'O': 5.0}",15dap_c + ametam_c --> 5mta_c + h_c + na15dap_c,
