bigg,ms
trnagly,cpd11913
trnahis,cpd11914
trnaile,cpd11915
trnaleu,cpd11916
trnalys,cpd11917
trnamet,cpd11918
trnaphe,cpd11919
trnapro,cpd11920
trnaser,cpd11921
trnathr,cpd11922
trnatrp,cpd11923
trnaval,cpd11924
15dap,cpd01155
xtsn,cpd01217
5oxpro,cpd01293
dtbt,cpd01311
lystrna,cpd15249
leutrna,cpd12003
argtrna,cpd12036
mmal,cpd01468
2mcit,cpd01501
glntrna,cpd12060
glytrna,cpd12100
mettrna,cpd12105
3c3hmp,cpd01646
sertrna,cpd12132
valtrna,cpd12133
2ippm,cpd01710
3dhsk,cpd01716
protrna,cpd12164
acmum,cpd01757
prbatp,cpd01775
prbamp,cpd01777
imzac,cpd01831
tyrtrna,cpd12194
ppap,cpd01844
ivcoa,cpd01882
4aabutn,cpd01889
asptrna,cpd12226
glutrna,cpd12227
histrna,cpd12228
thrtrna,cpd12229
acmama,cpd01923
thmtp,cpd01937
btd_RR,cpd01947
3mb2coa,cpd01966
4pasp,cpd01977
pram,cpd01982
dmbzid,cpd01997
cystrna,cpd12255
iletrna,cpd12256
rnam,cpd02016
skm5p,cpd02030
appl,cpd02039
3php,cpd02069
cpppg3,cpd02083
glu5p,cpd02097
23dhdp,cpd02120
2mb2coa,cpd02125
asntrna,cpd12313
argsuc,cpd02152
5fthf,cpd02197
4ppan,cpd02201
3ig3p,cpd02210
2aobut,cpd02211
phetrna,cpd12335
trptrna,cpd12336
com,cpd02246
dhna,cpd02295
6pthp,cpd02315
apoACP,cpd12370
quln,cpd02333
glu1sa,cpd02345
tagdp__D,cpd02371
dcamp,cpd02375
gar,cpd02394
dolmanp,cpd12407
1pyr5c,cpd02431
mcom,cpd02438
acACP,cpd11494
thdp,cpd02465
ptcys,cpd02524
ocdACP,cpd15268
applp,cpd02547
acg5p,cpd02552
hpglu,cpd02555
octdp,cpd02557
5mdr1p,cpd02574
hepdp,cpd02590
3c4mop,cpd02605
acmanap,cpd02612
23dhmb,cpd02498
pran,cpd02642
dmlz,cpd02656
46dh25dohxn,cpd02663
4ppcys,cpd02666
fgam,cpd02678
mleneh4spt,cpd15894
3hmbcoa,cpd02691
3c2hmp,cpd02693
sl26da,cpd02698
amob,cpd02701
5aprbu,cpd02720
sl2a6o,cpd02724
mhpglu,cpd02738
gdptp,cpd02740
acgam1p,cpd02611
5mdru1p,cpd02791
uaccg,cpd02820
fpram,cpd02826
eig3p,cpd02843
aicar,cpd02851
2dda7p,cpd02857
uGgla,cpd02862
4r5au,cpd02882
fprica,cpd02884
5aizc,cpd02893
5prdmbz,cpd02904
25aics,cpd02921
uaGgla,cpd02948
dhnpt,cpd02961
ugmd,cpd02964
ugmda,cpd02968
ahdt,cpd02978
prfp,cpd02979
